method,curve,x,y,support_size
target_control_scratch (K=16),risk_coverage,0.2917225950782998,0.3951282885197765,16
target_control_scratch (K=16),risk_coverage,0.33344519015659957,0.39048753411699394,16
target_control_scratch (K=16),risk_coverage,0.3750559284116331,0.3818940366990974,16
target_control_scratch (K=16),risk_coverage,0.4167785234899329,0.3734089081682055,16
target_control_scratch (K=16),risk_coverage,0.45838926174496647,0.367394590470745,16
target_control_scratch (K=16),risk_coverage,0.5001118568232662,0.36240850558826126,16
target_control_scratch (K=16),risk_coverage,0.5417225950782998,0.35792833763395493,16
target_control_scratch (K=16),risk_coverage,0.5833333333333334,0.354795481548312,16
target_control_scratch (K=16),risk_coverage,0.6250559284116332,0.3512621111725574,16
target_control_scratch (K=16),risk_coverage,0.6666666666666666,0.34706713759080976,16
target_control_scratch (K=16),risk_coverage,0.7083892617449664,0.3433724067649113,16
target_control_scratch (K=16),risk_coverage,0.75,0.34035403750481863,16
target_control_scratch (K=16),risk_coverage,0.7917225950782998,0.3379411988437558,16
target_control_scratch (K=16),risk_coverage,0.8333333333333334,0.33641813583812785,16
target_control_scratch (K=16),risk_coverage,0.8750559284116332,0.3344715059469316,16
target_control_scratch (K=16),risk_coverage,0.9166666666666666,0.33292291838777316,16
target_control_scratch (K=16),risk_coverage,0.9583892617449664,0.3316411015749281,16
target_control_scratch (K=16),risk_coverage,1.0,0.3307735786032134,16
target_v0_gaussian64_scratch (K=16),calibration,0.5,0.8324196812246858,16
target_v0_gaussian64_scratch (K=16),calibration,0.8,0.9665277225499519,16
target_v0_gaussian64_scratch (K=16),calibration,0.9,0.977376585909872,16
target_v0_gaussian64_scratch (K=16),calibration,0.95,0.9805557145423652,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.00011185682326621924,0.221225418703333,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.04172259507829978,0.3969669250557179,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.08344519015659956,0.4074823586331747,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.1250559284116331,0.4111212717649177,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.16677852348993288,0.42004578014242583,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.20838926174496644,0.4224436580009524,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.2501118568232662,0.41953129890959456,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.2917225950782998,0.4158132137857902,16
target_v0_gaussian64_scratch (K=16),risk_coverage,0.33344519015659957,0.4078985408439413,16
